time;item;state;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15
1777806366.6781762;muumi_cup_arabia;empty;0;0;120;90;0;0;1736;1324;0;0;0;0;0;0;0;0
1777806389.3684988;muumi_cup_arabia;empty;0;0;0;0;119;196;45;0;945;340;965;0;210;562;184;0
1777806392.8722742;muumi_cup_arabia;empty;0;0;0;0;134;61;0;0;653;179;0;0;93;2244;0;0
1777806397.419941;muumi_cup_arabia;empty;0;467;135;0;0;145;1888;0;0;643;161;0;0;0;0;0
1777806517.3637667;bowl;empty;0;0;0;0;0;0;1269;524;0;0;107;89;0;0;823;1367
1777806523.9024172;bowl;empty;0;0;0;0;0;117;1501;89;0;1353;190;476;0;216;448;171
1777806531.4671845;bowl;empty;0;0;0;0;0;198;1632;0;0;488;225;0;0;1209;369;0
1777806536.4914677;bowl;empty;0;0;0;0;0;0;9;0;0;49;157;0;0;485;1872;0
1777806541.0409117;bowl;empty;0;0;0;0;152;1168;120;2;766;336;1771;49;119;381;240;103
1777806545.5507636;bowl;empty;0;0;0;0;183;1504;0;0;1985;208;0;0;223;105;0;0
1777806550.6061606;bowl;empty;0;0;0;0;17;87;0;0;119;356;0;0;1898;977;0;0
1777806555.6388493;bowl;empty;0;0;0;0;211;149;0;0;556;1649;0;0;169;955;0;0
1777806582.8709655;bowl;empty;0;0;7;0;0;0;88;219;0;0;180;1788;0;0;1111;277
1777806588.9079394;bowl;empty;0;0;0;0;0;171;623;0;0;216;118;0;0;141;1451;0
1777806594.4565296;bowl;empty;0;0;0;0;0;649;1497;0;0;160;219;0;0;1497;67;0
1777806601.4616857;bowl;empty;0;0;0;0;0;208;88;0;0;435;987;0;0;1453;108;0
1777806606.99065;bowl;empty;0;0;0;0;448;712;0;0;25;161;0;0;9;1333;0;0
1777806611.0490577;bowl;empty;0;0;0;0;991;501;0;0;219;163;0;0;1185;1520;0;0
1777806616.0716562;bowl;empty;0;0;0;0;1227;112;0;0;259;800;0;0;728;1403;0;0
1777806621.1705303;bowl;empty;0;0;0;0;136;437;0;0;225;1152;0;0;1435;171;0;0
1777806626.1781497;bowl;empty;0;0;0;0;127;95;0;0;400;535;0;0;96;172;0;0
1777806630.6944368;bowl;empty;0;0;0;0;1047;71;0;0;1319;231;0;0;95;1530;0;0
1777806643.3009844;bowl;empty;0;0;0;0;263;56;48;0;2097;229;311;0;157;1959;51;0
1777806649.8480692;bowl;empty;0;0;7;0;0;141;718;0;0;377;1085;0;0;1403;81;0
1777806655.9153934;bowl;empty;0;0;0;0;0;84;1089;0;0;291;663;0;0;81;95;0
1777806678.0971994;bowl;empty;0;0;0;0;0;141;905;0;0;497;55;0;0;139;0;0
1777806683.1265316;bowl;empty;0;0;0;0;0;143;0;335;0;976;0;477;0;8;0;2
1777806688.6296225;bowl;empty;0;0;369;99;0;0;175;1759;0;0;1149;474;0;0;1;0
1777806727.48984;bowl;empty;0;0;12;219;0;0;101;1705;0;0;1611;139;0;0;0;0
1777806743.1012914;bowl;empty;0;721;1812;44;0;233;121;189;0;1557;55;70;0;0;0;0
1777806755.188816;bowl;empty;106;840;49;0;1245;221;512;0;79;1245;20;0;0;0;0;0
1777806758.7190764;bowl;empty;1389;920;0;0;101;99;0;0;53;1309;0;0;0;0;0;0
1777806761.757165;bowl;empty;751;763;0;0;146;108;0;0;1360;1400;0;0;0;0;0;0
1777806766.7855933;bowl;empty;1092;427;0;0;155;252;0;0;1389;791;0;0;0;0;0;0
1777806772.322079;bowl;empty;293;21;7;0;177;683;29;0;1564;45;26;0;0;0;0;0
1777806780.9069006;bowl;empty;629;1831;159;0;176;721;349;0;0;0;11;0;0;0;0;0
1777806797.5278103;bowl;empty;643;151;0;0;1171;1759;0;0;0;0;0;0;1;4;0;0
1777806887.719642;bowl;empty;0;44;876;13;0;568;211;135;0;0;557;11;0;0;0;0
1777806890.7169356;bowl;empty;0;1239;1609;0;0;209;203;0;0;1188;69;0;0;0;0;0
1777806893.787738;bowl;empty;93;1254;33;0;1432;197;352;0;96;649;37;0;0;0;0;0
1777806896.7673848;bowl;empty;285;867;0;0;155;224;0;0;2067;1435;0;0;0;0;0;0
1777806899.8150914;bowl;empty;818;313;0;0;178;171;0;0;1352;1820;0;0;0;0;0;0
1777806907.8454828;bowl;empty;0;0;0;0;841;230;0;0;55;651;0;0;1085;182;0;0
1777806911.8989718;bowl;empty;0;6;0;0;738;159;0;0;77;115;0;0;1371;1836;0;0
1777806921.9868894;bowl;empty;0;0;0;0;1571;1001;0;0;85;200;0;0;75;1141;0;0
1777806925.0131512;bowl;empty;0;0;0;0;224;633;100;0;1954;360;333;0;89;960;78;0
1777806928.0543451;bowl;empty;0;0;0;0;0;732;96;0;0;217;1353;0;0;1223;243;0
1777806932.0464923;bowl;empty;0;0;0;0;0;1045;1213;0;0;123;95;0;0;1238;1047;0
1777806938.6269538;bowl;empty;0;0;0;0;0;203;1257;0;0;1604;135;0;0;189;1133;0
1777806942.1005929;bowl;empty;0;0;0;0;0;0;936;209;0;0;199;1297;0;0;1318;179
1777806971.9001944;bowl;empty;0;0;1635;149;0;0;236;1523;0;0;365;796;0;0;0;0
1777806976.4217763;bowl;empty;0;101;1355;0;0;640;259;0;0;1436;564;0;0;0;2;0
1777806998.5364282;bowl;empty;0;104;1449;0;0;99;210;0;0;2014;687;0;0;0;0;0
1777807013.1795685;bowl;empty;0;908;39;0;0;352;663;0;0;96;1128;0;0;0;1;0
1777807028.2900617;bowl;empty;972;101;0;0;304;105;0;0;747;2140;0;0;0;0;0;0
1777807032.3299;bowl;empty;936;356;0;0;109;150;0;0;1165;1824;0;0;0;0;0;0
1777807035.8287055;bowl;empty;1755;869;0;0;137;203;0;0;67;1387;0;0;0;0;0;0
1777807039.8853374;bowl;empty;0;432;228;0;0;182;1880;0;0;1578;128;0;0;0;0;0
1777807044.419728;bowl;empty;0;1179;631;0;0;211;20;0;0;1012;22;0;0;0;0;0
1777807062.046019;bowl;empty;0;103;900;0;0;1131;181;0;0;45;455;0;0;0;0;0
1777807066.6241224;bowl;empty;0;0;899;1031;0;0;41;0;0;0;1225;939;0;0;0;0
1777807075.6905618;bowl;empty;0;0;0;0;0;0;1344;315;0;0;143;837;0;0;1098;239
1777807079.686049;bowl;empty;0;0;0;0;0;189;1245;87;0;1932;165;702;0;179;1024;26
1777807086.264721;bowl;empty;0;0;10;0;0;1137;1459;0;0;275;135;0;0;1011;908;0
1777807091.7845476;bowl;empty;0;0;0;0;0;829;83;0;0;256;1019;0;0;1308;369;0
1777807095.8498483;bowl;empty;0;0;0;0;270;1247;129;0;631;231;667;0;81;693;181;0
1777807101.349216;bowl;empty;0;0;0;0;229;1251;159;0;648;211;389;0;211;919;187;0
1777807106.9311342;bowl;empty;0;0;0;0;1499;509;161;0;144;229;339;0;109;1485;224;0
1777807117.9999814;bowl;empty;0;0;0;0;1149;152;8;0;206;137;2;0;903;1595;4;0
1777807123.5466847;bowl;empty;0;0;0;0;768;147;0;0;119;2201;0;0;1307;215;0;0
1777807166.8689327;bowl;empty;0;0;1231;28;0;0;352;1395;0;0;465;736;0;0;19;0
1777807172.4505455;bowl;empty;0;119;1971;0;0;135;141;0;0;2237;279;0;0;6;0;0
1777807179.9798422;bowl;empty;147;1243;96;0;136;337;1388;0;22;395;109;0;0;0;0;0
1777807185.0352068;bowl;empty;46;1069;0;0;133;151;0;0;1800;1259;0;0;0;0;0;0
1777807190.5939467;bowl;empty;264;55;0;0;181;195;0;0;1536;1932;0;0;0;0;0;0
1777807196.638239;bowl;empty;1249;179;0;0;161;1967;0;0;1091;128;0;0;0;0;0;0
1777807302.454016;bowl;empty;0;1523;39;0;0;195;104;0;0;393;1243;0;0;0;0;0
1777807307.0056875;bowl;empty;0;718;907;0;0;147;601;0;0;1687;69;0;0;0;0;0
1777807312.0442321;bowl;empty;108;479;152;0;1413;166;779;0;93;1520;74;0;0;0;0;0
1777807315.517376;bowl;empty;486;743;0;0;84;151;0;0;1548;1275;0;0;0;0;0;0
1777807322.1123824;bowl;empty;1297;1267;0;0;157;157;0;0;996;1081;0;0;0;0;0;0
1777807328.6163177;bowl;empty;871;78;0;0;203;103;0;0;1272;2129;0;0;0;0;0;0
1777807398.176484;bowl;empty;0;0;0;0;1297;205;0;0;145;835;0;0;591;183;0;0
1777807404.2433176;bowl;empty;0;0;0;0;1365;974;0;0;82;245;0;0;99;1306;0;0
1777807417.2999728;bowl;empty;0;0;0;0;93;183;87;0;749;333;567;0;27;1617;91;0
1777807429.4066658;bowl;empty;0;0;0;0;0;1087;1638;0;0;328;147;0;0;1067;617;0
1777807440.5325975;bowl;empty;0;0;0;0;0;140;1354;9;0;1527;163;839;0;161;809;59
1777807444.5458431;bowl;empty;0;0;0;0;0;73;1669;133;0;448;125;2063;0;24;600;133
1777807448.5773652;bowl;empty;0;0;916;21;0;0;240;563;0;0;261;614;0;0;8;0
1777807519.6476119;bowl;empty;41;817;0;0;183;281;0;0;1896;458;0;0;0;0;0;0
1777807604.2986042;bowl;empty;0;0;0;0;0;204;304;0;0;501;1269;0;0;1120;188;0
1777807607.8354454;bowl;empty;0;0;0;0;261;45;16;0;1991;176;149;0;170;2100;6;0
1777807680.4200165;bowl;empty;0;53;6;0;0;657;58;680;0;63;1239;93;0;0;1;0
1777807685.4271488;bowl;empty;0;149;1517;0;0;97;131;0;0;2181;880;0;0;0;0;0
1777807689.4690711;bowl;empty;0;1257;58;0;0;211;149;0;0;367;1369;0;0;0;24;0
1777807694.4810412;bowl;empty;0;0;0;0;0;79;1195;87;0;213;1071;214;0;1931;96;155
1777807707.0898886;bowl;empty;0;0;0;0;89;949;212;0;1001;121;95;0;168;1175;243;0
1777807712.1648712;bowl;empty;829;115;0;0;162;95;0;0;1358;2169;0;0;0;0;0;0
1777807722.7347944;bowl;empty;851;1479;0;0;87;145;0;0;613;612;0;0;0;0;0;0
1777807730.2847974;bowl;empty;437;379;0;0;1365;224;0;0;91;1467;0;0;0;0;0;0
1777807767.5952837;bowl;empty;0;0;1;0;0;264;1457;0;0;506;1000;0;0;372;55;0
1777807772.6107879;bowl;empty;0;0;0;0;0;120;1403;0;0;223;832;0;0;1721;99;0
1777807802.376138;bowl;empty;0;0;0;0;0;183;1239;119;0;1677;237;365;0;504;662;103
1777807836.6174598;bowl;empty;0;0;0;0;0;259;1262;9;0;411;1015;43;0;1152;68;0
1777807990.340938;plate;empty;0;1265;10;86;0;160;4;499;0;95;29;317;0;592;544;189
1777808001.8738527;plate;empty;24;0;1044;0;59;0;81;33;908;2;77;120;169;52;1019;3
1777808007.4118843;plate;empty;1325;33;907;0;219;16;72;0;178;79;72;0;92;251;489;0
1777808011.9811914;plate;empty;1612;3;1221;0;109;3;61;0;121;83;16;0;80;856;2;0
1777808018.5281045;plate;empty;83;23;741;0;205;39;140;0;774;149;1161;0;237;1435;128;0
1777808055.7961938;plate;empty;59;51;848;0;68;101;455;0;159;228;29;0;99;1261;2;0
1777808063.8793876;plate;empty;699;52;420;0;85;57;116;0;45;203;1033;0;0;1061;164;0
1777808070.4591973;plate;empty;417;0;56;0;156;0;113;0;1529;0;1493;0;67;0;81;0
1777808074.4553075;plate;empty;0;26;0;119;0;110;25;1632;0;221;40;211;0;1650;886;152
1777808079.0250132;plate;empty;0;1303;6;48;0;185;6;61;0;67;8;1;0;491;411;190
1777808082.5620503;plate;empty;17;1239;53;26;104;61;91;151;1009;22;289;1896;59;0;443;116
1777808094.089316;plate;empty;0;1491;793;0;0;99;131;0;0;21;71;0;0;43;837;0
1777808101.6623306;plate;empty;765;600;28;0;137;61;25;0;175;105;111;0;1007;301;1240;0
1777808109.2301588;plate;empty;1016;1;0;393;112;0;0;228;344;47;0;166;63;409;0;63
1777808114.2566812;plate;empty;0;4;25;160;0;36;60;1676;0;90;109;462;0;907;1480;99
1777808400.0571365;plate;empty;3;1292;0;180;96;168;0;677;471;105;0;1206;42;186;0;121
1777808408.1022382;plate;empty;75;1076;1317;0;723;247;173;0;625;159;72;0;151;311;259;0
1777808417.7035007;plate;empty;48;1297;35;0;48;53;48;0;196;7;224;0;1373;0;1288;0
1777808422.7089608;plate;empty;424;400;0;274;171;45;0;223;136;101;0;37;1274;421;0;0
1777808428.748242;plate;empty;1276;0;1776;0;87;0;216;0;59;0;45;0;755;0;43;0
1777808431.7376325;plate;empty;1031;0;6;0;200;0;16;0;384;0;107;0;37;0;1458;0
1777808434.8024938;plate;empty;480;0;5;0;179;0;21;0;1215;31;108;0;104;156;1143;0
1777808586.4894702;plate;empty;73;1240;1117;0;518;175;71;101;1599;120;45;848;117;143;271;27
1777808592.049669;plate;empty;21;1460;745;25;115;184;97;217;1043;135;169;1072;51;141;457;28
1777808596.083068;plate;empty;621;0;1667;0;69;0;143;0;89;0;93;0;961;0;445;0
1777808606.1251712;plate;empty;338;51;24;161;816;147;71;2089;11;85;81;221;27;1387;938;59
1777808799.6508822;plate;empty;0;845;0;241;0;64;0;421;0;117;0;1390;0;481;0;180
1777808803.1671937;plate;empty;35;0;523;150;145;0;46;82;891;0;97;2;237;0;1289;0
1777808828.3823378;plate;empty;1737;151;470;0;75;31;21;0;247;152;0;0;43;1437;0;0
1777808832.9116812;plate;empty;77;0;0;102;1222;0;22;128;473;0;113;536;105;37;1375;19
1777808841.9574847;plate;empty;464;112;859;0;173;117;137;0;597;461;844;0;109;1000;108;0
1777808877.2337055;plate;empty;49;16;2;87;653;57;23;1575;53;81;89;557;10;1210;1254;45
1777808886.8503127;plate;empty;103;28;0;61;1299;95;0;663;121;248;0;300;21;1397;0;76
1777808896.398746;plate;empty;829;151;88;0;219;213;151;0;505;680;1327;0;36;352;51;0
1777808944.8124533;plate;empty;40;1;9;0;189;17;51;75;1529;60;110;0;83;304;1184;0
1777808950.310053;plate;empty;37;240;21;481;120;53;8;41;273;176;104;1152;69;1399;1055;167
